label	chr	pos1	pos2	type	elem	id	flank_side	elements	strand	ENdb_id	jiang_TEs	jiang_SEs	tonekaboni_COREs_h1	barakat_naive_CSS_RPP	barakat_primed_CSS_RPP	barakat_naive_SE	barakat_primed_SE	kunarso_CTCF_peaks	kunarso_NANOG_peaks	kunarso_OCT4_peaks	HACER_GRO_seq	lu_active_RNAseq	wang_id	wang_state	zhang_RNAseq_rank	goke_id	goke_stage	carter_ltr_subfamily	ATAC_seq_peaks	H1_ChromHMM	H1_CIS	endo_ChromHMM	endo_CIS
flanked:LTR7_HERVH-int:1478	chr11	123865321	123871065	flanked	LTR7_HERVH-int	1478	NA	9	-	NA	TE_00_02410098, TE_02_03805566	NA	NA	191	NA	NA	NA	NA	1	1	NA	NA	HERVH_835	inactive	647	NA	NA	7d2	2	Het	cont_Low_TssBiv	NA	NA
flanked:LTR7_HERVH-int:1479	chr11	127768918	127774895	flanked	LTR7_HERVH-int	1479	NA	7	-	NA	TE_00_01305746, TE_00_02402846, TE_02_03620363, TE_02_04315898, TE_02_06412795, TE_02_06510730, TE_02_35513564, TE_02_03805793	NA	NA	370	NA	NA	NA	NA	1	NA	GSE41009_2091, GSE64758_297	NA	HERVH_837	moderately	863	349071	2cell	7d2	1	TxWk, EnhWk	cont_TxWk_EnhWk, cont_Low_EnhWk	NA	NA
flanked:LTR7_HERVH-int:1481	chr11	130753497	130759137	flanked	LTR7_HERVH-int	1481	NA	8	-	NA	TE_02_06701942, TE_02_12406763	NA	NA	287	NA	NA	NA	NA	NA	NA	GSE41009_2114, GSE64758_300	active	HERVH_839	moderately	308	349073, 104912	EpiVsLateb, hescp0	7up2	NA	EnhWk	cont_Low_EnhWk	NA	NA
flanked:LTR7_HERVH-int:1482	chr11	131254534	131260279	flanked	LTR7_HERVH-int	1482	NA	7	-	NA	TE_00_01200463, TE_00_01700376, TE_00_01800442, TE_01_03100051, TE_02_01700987, TE_02_03914911, TE_02_04008613, TE_02_06401298, TE_02_32802163, TE_02_32900649, TE_02_41800780, TE_00_01300168, TE_00_01600972, TE_00_01901342, TE_00_02400401, TE_02_03600086, TE_02_03801124, TE_02_04201572, TE_02_04301036, TE_02_06501526, TE_02_06600356, TE_02_06701145, TE_02_09400924, TE_02_12503399	NA	NA	NA	729, 230	NA	NA	NA	1	NA	E-MTAB-742_36, GSE41009_2123, GSE64758_301	NA	HERVH_840	moderately	429	NA	NA	7d1	1	EnhA2, TxWk, Tx, ZNF-Rpts	cont_Tss_EnhG, cont_TxWk_EnhWk, cont_Tx_EnhG2, cont_Tx_EnhG1	EnhA2	cont_Tss_Enh
flanked:LTR7_HERVH-int:1483	chr11	133626774	133632692	flanked	LTR7_HERVH-int	1483	NA	7	+	NA	NA	NA	NA	176	154	NA	NA	NA	NA	NA	GSE41009_2131	NA	HERVH_841	inactive	952	NA	NA	7d1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1484	chr11_KI270829v1_alt	143651	149408	flanked	LTR7_HERVH-int	1484	NA	7	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1485	chr11_KN538368v1_alt	143144	148901	flanked	LTR7_HERVH-int	1485	NA	7	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1486	chr12	4018540	4023694	flanked	LTR7_HERVH-int	1486	NA	8	+	NA	TE_00_00309068, TE_01_03100176, TE_00_01600015, TE_01_04600906, TE_01_06901808, TE_02_00900297, TE_02_01900600, TE_02_03207284, TE_02_03801646, TE_02_04000046, TE_02_04600205, TE_02_06600128, TE_02_08701044, TE_02_12500162, TE_02_23700487, TE_02_24402329, TE_02_28403317, TE_02_33002387, TE_02_39600135, TE_02_42801323, TE_02_43600087	Sample_00_024, Sample_00_030, Sample_00_031, Sample_01_038, Sample_01_071, Sample_02_039, Sample_02_042, Sample_02_056, Sample_02_064, Sample_02_065, Sample_02_067, Sample_02_124, Sample_02_207, Sample_02_241, Sample_02_242, Sample_02_257, Sample_02_322, Sample_02_328, Sample_02_429, Sample_02_435	NA	302, 171	1000, 774, 171	present	present	NA	2	1	GSE41009_2937, GSE64758_375	active	HERVH_842	moderately	337	104914	EpiVsHesc	7up1	NA	EnhWk, TxWk, EnhA1	cont_Low_EnhWk, cont_TxWk_Enh, cont_EnhA	TxWk	cont_EnhA_EnhWk
flanked:LTR7_HERVH-int:1487	chr12	8279022	8294090	flanked	LTR7_HERVH-int	1487	NA	9	-	NA	TE_01_02311190, TE_01_06616778	NA	NA	NA	166	NA	NA	5	7	1	NA	NA	HERVH_843	moderately	592, 1024, 545	NA	NA	NA	NA	Het	cont_Low_EnhWk	NA	NA
flanked:LTR7_HERVH-int:1488	chr12	8804878	8813333	flanked	LTR7_HERVH-int	1488	NA	9	+	NA	TE_02_04017890, TE_02_04309075, TE_02_21014796, TE_02_39702097, TE_02_41802510, TE_00_02403438, TE_02_06400240, TE_02_06500376, TE_02_06600067, TE_02_09400181, TE_02_11401312, TE_02_12504236, TE_02_24405757, TE_02_32800829	Sample_00_012, Sample_00_013, Sample_01_031, Sample_01_033, Sample_02_017, Sample_02_038, Sample_02_042, Sample_02_067, Sample_02_124, Sample_02_016, Sample_02_036	NA	315, 158, 175	316	present	present	NA	1	NA	E-MTAB-742_48	NA	HERVH_844	moderately	436	104915, 349079	EpiVsHesc, EpiVsLateb	7d1	3	TxWk, EnhWk, EnhA2	cont_TxWk_Enh, cont_TxWk_EnhWk, cont_EnhA	NA	NA
flanked:LTR7_HERVH-int:1489	chr12	9962436	9968690	flanked	LTR7_HERVH-int	1489	NA	8	-	NA	TE_02_19200926, TE_00_00606325, TE_01_02400251, TE_01_04401707, TE_02_10200138, TE_02_34700950	Sample_02_100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_846	inactive	870	NA	NA	7d1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1490	chr12	10332975	10338643	flanked	LTR7_HERVH-int	1490	NA	8	-	NA	TE_02_08613102, TE_02_12408049, TE_02_17811693, TE_02_28105979, TE_02_43206732, TE_02_13300301, TE_02_17700967	NA	NA	324	1000	NA	NA	NA	2	NA	NA	active	HERVH_847	moderately	119	349128, 349129	EpiVsHesc, EpiVsLateb, hescp10	7up1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1491	chr12	11462168	11468020	flanked	LTR7_HERVH-int	1491	NA	7	-	NA	TE_02_06706236, TE_02_09403590, TE_02_12409348	NA	NA	NA	900	NA	NA	NA	1	NA	GSE41009_2680, GSE64758_348	active	HERVH_848	moderately	300	104963	hescp0, hescp10	7up1	NA	EnhA2, Het	cont_Low_TssBiv, cont_Low_EnhWk	NA	NA
flanked:LTR7_HERVH-int:1493	chr12	12058471	12064073	flanked	LTR7_HERVH-int	1493	NA	8	+	NA	TE_00_02410293, TE_02_03812627, TE_02_04303729	NA	NA	1000, 148	NA	NA	present	NA	1	NA	GSE41009_2727, GSE64758_354	NA	HERVH_850	moderately	309	NA	NA	NA	NA	TxWk, EnhWk	cont_TxWk_Enh, cont_TxWk_EnhWk	NA	NA
flanked:LTR7_HERVH-int:1494	chr12	13259638	13265519	flanked	LTR7_HERVH-int	1494	NA	6	-	NA	TE_00_02400115, TE_02_03603885, TE_02_03801652, TE_02_03908466, TE_02_04300805, TE_02_06926665, TE_02_37003407, TE_02_13900875, TE_02_21100857, TE_02_24204668, TE_02_30003821	NA	NA	523	270	NA	NA	NA	2	NA	GSE41009_2794, GSE64758_359	NA	HERVH_851	moderately	200	NA	NA	7d1	NA	TxWk, Het	cont_Low_EnhWk	NA	NA
flanked:LTR7_HERVH-int:1495	chr12	14705420	14710640	flanked	LTR7_HERVH-int	1495	NA	7	-	NA	TE_00_01112491, TE_00_02405727, TE_01_06803850, TE_01_08906734, TE_01_09109126, TE_02_03317550, TE_02_03812897, TE_02_04013110, TE_02_04315289, TE_02_08619440, TE_02_12204686, TE_02_16817849, TE_02_16918083, TE_02_18010373, TE_02_19803243, TE_02_24209262, TE_02_28419595, TE_02_32516725, TE_02_32616944, TE_02_36307416, TE_00_01800717, TE_00_01900799, TE_01_03100549, TE_01_03301435, TE_02_01703203, TE_02_06400999, TE_02_06500967, TE_02_06600588, TE_02_06701516, TE_02_09400298, TE_02_12400607, TE_02_12505150	Sample_00_012, Sample_00_013, Sample_02_036, Sample_02_042	NA	525, 347	180, 147, 513	NA	NA	NA	1	2	E-MTAB-742_41	active	HERVH_853	highly	45	104966, 104967, 349134, 349135	hescp0, hescp10	7up2	2	EnhG2, EnhG1, TxWk, TssFlnkD, TssFlnk, TssA	cont_Tx_EnhG2, cont_Tss_EnhG	EnhG1, TxWk, TssFlnk	cont_Tx_EnhG2, cont_Tss_noEnh
flanked:LTR7_HERVH-int:1498	chr12	18195660	18203727	flanked	LTR7_HERVH-int	1498	NA	4	+	NA	NA	NA	NA	NA	246	NA	NA	NA	2	NA	GSE41009_2820	NA	HERVH_857	inactive	1016	NA	NA	7u1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1499	chr12	20762908	20769058	flanked	LTR7_HERVH-int	1499	NA	8	+	NA	TE_02_12407686, TE_02_42413336	NA	NA	382, 184	1000, 167	NA	NA	NA	1	NA	NA	NA	HERVH_858	moderately	296	NA	NA	7up2	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1500	chr12	23505830	23511572	flanked	LTR7_HERVH-int	1500	NA	7	-	NA	TE_00_01903645, TE_01_03905643, TE_02_03607685, TE_02_04302940, TE_00_02400196	NA	NA	NA	NA	NA	NA	NA	1	NA	GSE41009_2849	NA	HERVH_860	inactive	570	NA	NA	NA	1	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1501	chr12	25163212	25169515	flanked	LTR7_HERVH-int	1501	NA	8	+	NA	NA	NA	NA	262	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_861	inactive	1017	104925	2cell	7d1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1502	chr12	29134619	29140801	flanked	LTR7_HERVH-int	1502	NA	7	-	NA	TE_02_36407662, TE_02_03605020, TE_02_06904515	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_2863, GSE64758_367	NA	HERVH_862	moderately	611	NA	NA	7d1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1503	chr12	30056080	30062516	flanked	LTR7_HERVH-int	1503	NA	6	+	NA	TE_00_02405409, TE_02_03807597, TE_02_04315196, TE_02_17703955, TE_02_31300476	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_2870	NA	HERVH_864	inactive	955	NA	NA	7d1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1504	chr12	33087849	33090857	flanked	LTR7_HERVH-int	1504	NA	4	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_2897	NA	HERVH_865	inactive	1185	NA	NA	7o	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1505	chr12	34265544	34274257	flanked	LTR7_HERVH-int	1505	NA	3	+	NA	TE_01_03102786, TE_02_04208611, TE_02_06414098, TE_02_06603345, TE_02_06508271, TE_02_06705508, TE_02_12407624	NA	NA	1000	NA	NA	NA	NA	1	NA	GSE41009_2911	NA	HERVH_866	inactive	956	NA	NA	NA	NA	ZNF-Rpts, Het	cont_Het_Rpts_strong	Het	cont_Het_Rpts
flanked:LTR7_HERVH-int:1506	chr12	44450051	44456067	flanked	LTR7_HERVH-int	1506	NA	8	+	NA	TE_00_02404057, TE_02_04304504	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_2955	NA	HERVH_867	inactive	434	NA	NA	7d2	NA	Het	cont_Low_TssBiv	NA	NA
flanked:LTR7_HERVH-int:1508	chr12	54942537	54948366	flanked	LTR7_HERVH-int	1508	NA	8	-	NA	TE_01_07613520, TE_02_04004384, TE_02_13305249, TE_02_28408731, TE_00_02403617, TE_01_08816231, TE_02_03809808, TE_02_04308807, TE_02_12604981, TE_02_12703149, TE_02_13103482, TE_02_13205900	Sample_02_231, Sample_02_232, Sample_02_234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_872	inactive	767	NA	NA	7o	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1509	chr12	59323187	59328986	flanked	LTR7_HERVH-int	1509	NA	8	-	NA	TE_02_04016945, TE_02_30710299, TE_02_31016442, TE_00_01803902, TE_00_01905491, TE_02_06601543, TE_02_32807475, TE_02_41804489, TE_00_01201144, TE_00_01300972, TE_00_02408660, TE_01_03100015, TE_01_03301557, TE_02_01706752, TE_02_03600585, TE_02_03809560, TE_02_04201674, TE_02_06401151, TE_02_06501074, TE_02_06700980, TE_02_09401367, TE_02_12401242, TE_02_12504680	NA	NA	178, 147, 507	1000	NA	NA	NA	2	2	E-MTAB-742_44, GSE41009_3053, GSE64758_393	active	HERVH_874	highly	23	349148, 349149, 104982	hescp0, hescp10	7up1	2	EnhG2, EnhA2, TxWk, TssFlnk, TssA, TssFlnkU	cont_EnhA, cont_Tx_EnhG1, cont_Tss_noEnh	TxWk, TssFlnk	cont_Low_TssBiv, cont_Tss_noEnh, cont_Low_EnhWk
flanked:LTR7_HERVH-int:1510	chr12	60951267	60957619	flanked	LTR7_HERVH-int	1510	NA	5	-	NA	TE_02_17719986	NA	NA	NA	NA	NA	NA	NA	1	NA	GSE41009_3063, GSE64758_394	NA	HERVH_875	inactive	628	NA	NA	7d1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1511	chr12	61587105	61592931	flanked	LTR7_HERVH-int	1511	NA	5	+	NA	TE_02_24608211	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_3068	NA	HERVH_876	inactive	695	NA	NA	7o	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1512	chr12	67766803	67772346	flanked	LTR7_HERVH-int	1512	NA	8	-	NA	TE_00_01004366, TE_00_01801733, TE_00_01901755, TE_00_02111479, TE_00_02316266, TE_00_02402017, TE_00_03413921, TE_00_03619554, TE_00_04311698, TE_01_02108676, TE_01_02300238, TE_01_05813387, TE_01_07010987, TE_01_07310516, TE_01_07409405, TE_01_07709322, TE_01_07809436, TE_01_08308963, TE_01_08611650, TE_02_03607602, TE_02_03810661, TE_02_03905386, TE_02_04012279, TE_02_05411740, TE_02_05510931, TE_02_06405136, TE_02_06503739, TE_02_06601004, TE_02_06813048, TE_02_07606117, TE_02_11015274, TE_02_11211680, TE_02_12502984, TE_02_16411062, TE_02_16507698, TE_02_17113932, TE_02_17214673, TE_02_17510490, TE_02_17809651, TE_02_20905990, TE_02_24112229, TE_02_25110675, TE_02_25411224, TE_02_26407310, TE_02_26516460, TE_02_27709112, TE_02_28411007, TE_02_29909580, TE_02_30108516, TE_02_30609949, TE_02_31411743, TE_02_31809972, TE_02_31912347, TE_02_32804141, TE_02_33011864, TE_02_34110657, TE_02_35310994, TE_02_37207595, TE_02_37809260, TE_02_39511387, TE_02_39642175, TE_02_39815718, TE_02_42313067, TE_02_43505851, TE_02_43602543, TE_00_02500379, TE_00_02600669, TE_02_38101548, TE_01_06600787, TE_01_08102438, TE_02_15001637, TE_02_17300665, TE_02_17701517, TE_02_24204896, TE_02_31107645, TE_02_35403355	Sample_02_382, Sample_01_050	NA	157	NA	NA	NA	NA	1	NA	GSE41009_3108, GSE64758_399	active	HERVH_878	moderately	441	104984, 349154	hescp0, hescp10	7up1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1514	chr12	72703221	72708969	flanked	LTR7_HERVH-int	1514	NA	8	+	NA	NA	NA	NA	NA	147	NA	NA	NA	1	NA	GSE41009_3145	NA	HERVH_881	moderately	487	NA	NA	7up1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1515	chr12	72709002	72714311	flanked	LTR7_HERVH-int	1515	NA	8	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_3145	NA	HERVH_881	moderately	487	NA	NA	7d2	NA	Het	cont_Het_Rpts	NA	NA
flanked:LTR7_HERVH-int:1516	chr12	73001847	73007727	flanked	LTR7_HERVH-int	1516	NA	7	-	NA	TE_02_06411847, TE_02_06507574, TE_02_06708539, TE_02_17326655, TE_02_43105607, TE_02_03809320, TE_02_12404045, TE_02_14406915, TE_02_33604493	NA	NA	NA	NA	NA	NA	NA	1	NA	E-MTAB-742_45, GSE41009_3148	NA	HERVH_883	inactive	1022	NA	NA	7d1	1	EnhWk	cont_Low_EnhWk	NA	NA
flanked:LTR7_HERVH-int:1517	chr12	76291719	76297783	flanked	LTR7_HERVH-int	1517	NA	5	+	NA	TE_00_02518320, TE_00_02615459, TE_01_02710999, TE_02_00511945, TE_02_00906362, TE_02_01117006, TE_02_12412079, TE_02_20101717, TE_02_26410699, TE_02_26815877, TE_02_27007708, TE_02_28005625, TE_02_39626526, TE_02_40004394, TE_02_40212516, TE_02_42609010, TE_02_42708947, TE_02_18201771, TE_02_26701182, TE_02_39803977, TE_00_02301224, TE_02_06900197, TE_02_11603531, TE_02_15003766, TE_02_15103060, TE_02_17811855, TE_02_21006015, TE_02_26500253, TE_02_30502047, TE_02_42900024, TE_02_43000402, TE_03_00800385	Sample_01_063, Sample_02_008, Sample_02_108, Sample_02_281, Sample_02_317, Sample_02_419, Sample_02_420, Sample_02_428	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_3176	NA	HERVH_884	inactive	1188	NA	NA	7bc	NA	Het	cont_Het_Rpts	NA	NA
flanked:LTR7_HERVH-int:1518	chr12	79539847	79545625	flanked	LTR7_HERVH-int	1518	NA	8	+	NA	TE_00_01600053, TE_00_01800565, TE_00_01900160, TE_00_02400632, TE_01_00602155, TE_01_01801313, TE_01_01900858, TE_01_02600696, TE_01_05502578, TE_01_05601169, TE_01_05702578, TE_01_05900245, TE_01_06200418, TE_02_00501001, TE_02_00901022, TE_02_01002588, TE_02_01102118, TE_02_01202096, TE_02_01301044, TE_02_01702938, TE_02_02101252, TE_02_02700566, TE_02_02800362, TE_02_03000082, TE_02_04200364, TE_02_05501559, TE_02_07306066, TE_02_07401558, TE_02_08203416, TE_02_08302040, TE_02_08402009, TE_02_08502360, TE_02_09400057, TE_02_10706005, TE_02_11201036, TE_02_11301224, TE_02_15000036, TE_02_15100447, TE_02_17802092, TE_02_18800063, TE_02_19300362, TE_02_20300861, TE_02_26300607, TE_02_26400886, TE_02_26802955, TE_02_27402220, TE_02_28003071, TE_02_28100551, TE_02_32900155, TE_02_39502958, TE_02_40002317, TE_02_42305616, TE_02_42601594, TE_02_42701917, TE_02_42900947, TE_02_43003130, TE_03_00402070, TE_03_00503279, TE_03_00702682, TE_03_00802248, TE_03_00902322, TE_03_01003618, TE_03_01101797, TE_03_01303175, TE_03_01404183, TE_03_01502689, TE_03_01601917, TE_01_03602532, TE_02_03800158, TE_02_05300234, TE_02_11100965, TE_02_11500232, TE_02_11600285, TE_02_26503083, TE_02_26701545, TE_02_32800501, TE_02_33001021, TE_02_42800010, TE_00_02003941, TE_01_05800804, TE_01_07001295, TE_01_08601126, TE_01_08700134, TE_02_00200347, TE_02_02000020, TE_02_06900755, TE_02_08000270, TE_02_08600764, TE_02_09604271, TE_02_11000207, TE_02_11400629, TE_02_13900935, TE_02_16600389, TE_02_16700201, TE_02_17110359, TE_02_17204419, TE_02_17700013, TE_02_20901741, TE_02_29400159, TE_02_32200086, TE_02_39400192	Sample_00_012, Sample_00_013, Sample_01_031, Sample_01_033, Sample_02_064, Sample_02_065, Sample_02_066, Sample_02_067, Sample_02_125, Sample_02_261, Sample_02_262, Sample_02_108, Sample_02_124, Sample_02_301, Sample_02_397, Sample_02_407, Sample_02_410, Sample_01_046, Sample_02_036, Sample_02_039, Sample_02_040, Sample_02_246, Sample_02_317, Sample_02_398	NA	150, 141, 175, 525	879	present	NA	NA	NA	NA	E-MTAB-742_46, GSE41009_3200, GSE64758_409	active	HERVH_886	highly	223	349111, 349112, 104943	EpiVsLateb, hescp0, hescp10, EpiVsHesc	7up1	NA	TxWk, EnhA2, EnhA1	cont_Tx_EnhG1, cont_EnhA	EnhA2	cont_Low_TssBiv
flanked:LTR7_HERVH-int:1519	chr12	80783122	80788892	flanked	LTR7_HERVH-int	1519	NA	7	-	NA	TE_01_03102661, TE_02_03607670, TE_02_06506130, TE_00_01202179, TE_02_01800945, TE_02_03800898, TE_02_04003703, TE_02_04301926, TE_02_12502046	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	HERVH_887	moderately	499	NA	NA	7d2	2	TssA, TssFlnk, TxWk, EnhA1	cont_Tss_EnhG, cont_TxWk_EnhWk, cont_Tx_EnhG2, cont_EnhA	NA	NA
flanked:LTR7_HERVH-int:1520	chr12	86938681	86944755	flanked	LTR7_HERVH-int	1520	NA	6	+	NA	TE_00_01208455, TE_02_03614268, TE_02_06410189, TE_02_06505971, TE_02_06601692, TE_02_06706336, TE_02_12414078, TE_02_12506065	NA	NA	289, 159, 225	366, 426	NA	NA	NA	2	NA	GSE41009_3237, GSE64758_415	NA	HERVH_889	moderately	820	NA	NA	7up2	1	TxWk, EnhA1	cont_Het_Rpts, cont_Low_TssBiv	NA	NA
flanked:LTR7_HERVH-int:1521	chr12	87907289	87912900	flanked	LTR7_HERVH-int	1521	NA	7	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_3246, GSE64758_416	NA	HERVH_890	moderately	1025	349171	hescp0, hescp10	7d1	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1523	chr12	99715181	99721737	flanked	LTR7_HERVH-int	1523	NA	8	+	NA	TE_02_03617307, TE_02_03814753	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	HERVH_893	moderately	351	NA	NA	7d1	1	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1524	chr12	103222115	103228555	flanked	LTR7_HERVH-int	1524	NA	8	-	NA	TE_02_06515333, TE_02_06707915, TE_02_13306683	NA	NA	249	513	NA	NA	NA	1	NA	GSE41009_2607, GSE64758_340	NA	HERVH_895	moderately	569	NA	NA	7up1	NA	EnhWk	cont_Low_EnhWk	NA	NA
flanked:LTR7_HERVH-int:1525	chr12	110404977	110411068	flanked	LTR7_HERVH-int	1525	NA	9	-	NA	TE_02_04309002, TE_02_08702631, TE_02_13600290, TE_02_31712940, TE_02_32402415, TE_02_28500025	Sample_02_286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_896	inactive	1013	104998, 349175, 349176	8cell, morul	NA	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1528	chr12	132889510	132898499	flanked	LTR7_HERVH-int	1528	NA	29	+	NA	TE_00_01201287, TE_00_02403112, TE_02_01702129, TE_02_03602505, TE_02_03804534, TE_02_04201456, TE_02_04300768, TE_02_06507457, TE_02_32802941, TE_02_34802063, TE_02_21505231, TE_02_02200196, TE_02_12406049	NA	NA	455, 200	1000	NA	NA	NA	NA	NA	NA	NA	HERVH_900	inactive	1015	NA	NA	7d1	NA	EnhA1, TxWk	cont_Low_TssBiv, cont_Tx_EnhG1	NA	NA
flanked:LTR7_HERVH-int:1529	chr12_KN538369v1_fix	27469	33071	flanked	LTR7_HERVH-int	1529	NA	8	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1530	chr12_KQ759760v1_fix	170303	176377	flanked	LTR7_HERVH-int	1530	NA	6	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1533	chr13	36316324	36322191	flanked	LTR7_HERVH-int	1533	NA	7	+	NA	TE_02_16401846, TE_00_02400751, TE_01_03100295, TE_02_03606649, TE_02_04206484, TE_02_06502899, TE_02_06702040, TE_02_17200027, TE_02_32803665	Sample_02_124, Sample_02_125	NA	193, 219, 399	167, 158	NA	NA	NA	2	1	NA	active	HERVH_902	highly	92	105001, 349181	hescp10	7up1	NA	ZNF-Rpts, Het, EnhA2, TxWk	cont_Tx_EnhG2	TxWk	cont_Tx_EnhG2
flanked:LTR7_HERVH-int:1534	chr13	37969006	37974554	flanked	LTR7_HERVH-int	1534	NA	7	-	NA	TE_02_03827907, TE_02_36206155	NA	NA	NA	NA	NA	NA	NA	1	2	GSE41009_3516, GSE64758_448	NA	HERVH_903	moderately	875	NA	NA	NA	1	NA	NA	NA	NA
flanked:LTR7_HERVH-int:1535	chr13	42868003	42873158	flanked	LTR7_HERVH-int	1535	NA	7	-	NA	TE_00_01300544, TE_00_02409062, TE_02_12412191, TE_00_01201583, TE_02_04200864, TE_02_06400890, TE_02_06500709, TE_02_06600180, TE_02_06700908, TE_02_12505773, TE_02_21000987, TE_02_21100152, TE_02_25301725, TE_02_29603061, TE_02_31000061, TE_02_31107382, TE_02_34107093, TE_02_03600587, TE_02_31202747, TE_02_42100535	Sample_02_425, Sample_02_314	NA	299, 184, 657	586	NA	NA	NA	4	2	NA	active	HERVH_904	highly	18	105019, 349221, 349222	hescp0, hescp10	7up2	NA	EnhG1, TxWk, TssFlnk, EnhWk, EnhA1	cont_Tx_EnhG2, cont_TxWk_Enh, cont_EnhA_EnhWk	TxWk, TssFlnk, ReprPCWk, ReprPC	cont_Low_TssBiv, cont_Tss_noEnh, cont_ReprPC_Biv
flanked:LTR7_HERVH-int:1536	chr13	48055366	48062289	flanked	LTR7_HERVH-int	1536	NA	8	+	NA	TE_02_35703180, TE_01_04609126, TE_02_23406048	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	HERVH_906	moderately	343	NA	NA	7d1	NA	TxWk, Tx	cont_Tx_EnhG2, cont_Tx_EnhG1	NA	NA
flanked:LTR7_HERVH-int:1538	chr13	51169865	51175006	flanked	LTR7_HERVH-int	1538	NA	7	+	NA	TE_00_01700098, TE_00_01801211, TE_01_03300121, TE_02_03923209, TE_02_04005671, TE_02_12502294, TE_02_24404590, TE_02_32900994, TE_02_41801999, TE_00_01601463, TE_00_01901543, TE_02_01700566, TE_02_12400163	Sample_00_012, Sample_00_013, Sample_01_031, Sample_00_024, Sample_02_036, Sample_02_038, Sample_02_042, Sample_02_043, Sample_02_064, Sample_02_065, Sample_02_066, Sample_02_067, Sample_02_328	NA	299, 274, 264, 289	286, 174	present	present	NA	1	NA	E-MTAB-742_51, GSE41009_3592, GSE61393_6, GSE64758_454	active	HERVH_908	highly	7	105003, 105004, 349187, 349188	hescp0, hescp10	7up1	4	TssA, TssFlnk, EnhA2, TxWk, TssFlnkD, EnhG2	cont_Tss_Enh, cont_Tss_noEnh, cont_Low_TssBiv, cont_TxWk_EnhWk	TxWk, TssFlnk	cont_TxWk_EnhWk, cont_Tss_noEnh
flanked:LTR7_HERVH-int:1539	chr13	54127417	54133158	flanked	LTR7_HERVH-int	1539	NA	9	-	NA	TE_00_02405583, TE_02_01711991, TE_02_04303454, TE_02_03801975, TE_02_06500685, TE_02_06601590, TE_02_06701173, TE_02_12509621	Sample_02_064	NA	NA	189, 366, 168	NA	NA	NA	2	NA	GSE41009_3613, GSE64758_455	NA	HERVH_910	highly	54	105023, 349225, 349226, 105024	EpiVsLateb, hescp0, hescp10	7d2	1	TxWk	cont_Tx_EnhG2	TssFlnk	cont_Low_TssBiv
